
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-6-15,39,33,26,5,1,-1,22,15,8,1009,1005,1002,16,16,16,37,13,42,0.00,0,,201<br />
2012-6-16,41,33,26,8,4,-1,21,15,9,1011,1007,1005,16,14,1,45,9,53,0.00,3,,187<br />
2012-6-17,43,36,28,12,7,2,37,23,9,1010,1007,1003,16,16,16,27,9,39,0.00,1,,232<br />
2012-6-18,44,38,31,8,2,-3,24,15,5,1006,1003,1000,16,16,16,42,17,53,0.00,0,,257<br />
2012-6-19,42,35,27,2,-6,-14,20,11,2,1005,1002,999,16,16,16,37,12,42,0.00,0,,258<br />
2012-6-20,43,34,26,-2,-6,-9,14,9,4,1005,1003,1001,16,16,16,24,12,34,0.00,0,,283<br />
2012-6-21,43,35,27,7,2,-1,25,16,7,1009,1005,1003,16,16,16,24,10,32,0.00,0,,314<br />
2012-6-22,42,36,29,6,3,-5,23,14,5,1007,1004,1001,16,16,16,29,10,39,0.00,0,,292<br />
2012-6-23,42,34,27,10,3,-1,23,15,7,1007,1003,1001,16,16,16,34,11,39,0.00,2,,254<br />
2012-6-24,41,36,31,13,9,6,24,19,14,1011,1007,1005,16,16,16,32,14,42,0.00,3,,281<br />
2012-6-25,42,37,32,11,8,3,26,20,14,1013,1008,1005,16,16,16,24,12,37,0.00,2,,287<br />
2012-6-26,43,38,32,13,10,7,26,20,14,1007,1004,1001,16,15,8,42,10,56,0.00,3,,255<br />
2012-6-27,43,38,32,17,14,10,36,25,14,1010,1006,1003,16,12,2,48,12,71,0.00,3,,129<br />
2012-6-28,43,38,32,16,13,9,38,26,14,1012,1009,1007,16,16,13,32,11,40,0.00,2,,254<br />
2012-6-29,43,38,32,14,11,7,32,22,11,1011,1008,1005,16,16,16,32,13,40,0.00,1,,271<br />
2012-6-30,43,37,32,12,7,1,26,17,8,1010,1006,1002,16,16,16,40,14,47,0.00,2,,279<br />
2012-7-1,43,36,29,7,1,-3,23,15,6,1006,1004,1001,16,16,16,26,11,35,0.00,4,,262<br />
2012-7-2,41,36,31,13,8,1,26,19,12,1007,1005,1003,16,16,16,29,14,45,T,4,Rain,279<br />
2012-7-3,38,34,30,16,14,12,37,30,22,1009,1007,1005,16,16,16,35,19,52,T,4,,284<br />
2012-7-4,33,28,23,21,19,15,82,58,34,1012,1010,1007,16,16,13,27,12,35,3.56,7,Rain,190<br />
2012-7-5,37,31,25,21,17,13,76,51,25,1013,1010,1007,16,16,16,26,9,35,0.00,3,,248<br />
